caption,caption_opp,image_path,image_opp_path,classifier_equivalence,classifier_equivalence_opp
Cows relax in a beautiful meadow on a sunny day.,Cows tense in a beautiful meadow on a sunny day.,Data/coco_images_data/processed_success/35478/35478_sd_image.png,Data/coco_images_data/processed_success/35478/35478_sd_image_opp.png,no,no
The two friends are enjoying playing the video game.,The two friends are suffer playing the video game.,Data/coco_images_data/processed_success/452966/452966_sd_image.png,Data/coco_images_data/processed_success/452966/452966_sd_image_opp.png,no,no
A bird enjoys a FREE pizza on top of a newspaper stand,A bird suffer a FREE pizza on top of a newspaper stand,Data/coco_images_data/processed_success/321511/321511_sd_image.png,Data/coco_images_data/processed_success/321511/321511_sd_image_opp.png,no,no
A man playing tennis on a bright and beautiful day.,A man playing tennis on a bright and ugly day.,Data/coco_images_data/processed_success/23121/23121_sd_image.png,Data/coco_images_data/processed_success/23121/23121_sd_image_opp.png,no,no
"Girl wearing sunglasses, dark, shirt and demin capri's playing Frisbee on a beautiful sunny day.","Girl wearing sunglasses, dark, shirt and demin capri's playing Frisbee on a ugly sunny day.",Data/coco_images_data/processed_success/129852/129852_sd_image.png,Data/coco_images_data/processed_success/129852/129852_sd_image_opp.png,no,no
A beautiful young sexy blonde woman laying on a wooden park bench.,A ugly young sexy blonde woman laying on a wooden park bench.,Data/coco_images_data/processed_success/385504/385504_sd_image.png,Data/coco_images_data/processed_success/385504/385504_sd_image_opp.png,no,no
People gathered on the beach enjoying a beautiful sunny day.,People gathered on the beach suffer a beautiful sunny day.,Data/coco_images_data/processed_success/578597/578597_sd_image.png,Data/coco_images_data/processed_success/578597/578597_sd_image_opp.png,no,no
The bathroom has a nice sink and a nice shower with good headlight.,The bathroom has a nasty sink and a nice shower with good headlight.,Data/coco_images_data/processed_success/203040/203040_sd_image.png,Data/coco_images_data/processed_success/203040/203040_sd_image_opp.png,no,no
A beautiful woman with red hair standing next toa  man and another beautiful woman.,A ugly woman with red hair standing next toa  man and another beautiful woman.,Data/coco_images_data/processed_success/479779/479779_sd_image.png,Data/coco_images_data/processed_success/479779/479779_sd_image_opp.png,no,no
A dirty toilet in a dirty bathroom with dirty pipes.,A clean toilet in a dirty bathroom with dirty pipes.,Data/coco_images_data/processed_success/534857/534857_sd_image.png,Data/coco_images_data/processed_success/534857/534857_sd_image_opp.png,no,no
Baseball player in a blue uniform celebrates a good play.,Baseball player in a blue uniform celebrates a evil play.,Data/coco_images_data/processed_success/31332/31332_sd_image.png,Data/coco_images_data/processed_success/31332/31332_sd_image_opp.png,no,no
"A clean, inviting kitchen with white cabinets and tan granite counter tops.","A clean, uninviting kitchen with white cabinets and tan granite counter tops.",Data/coco_images_data/processed_success/496097/496097_sd_image.png,Data/coco_images_data/processed_success/496097/496097_sd_image_opp.png,no,no
cute dog wearing a smiley party hat happily,cute dog wearing a smiley party hat unhappily,Data/coco_images_data/processed_success/163496/163496_sd_image.png,Data/coco_images_data/processed_success/163496/163496_sd_image_opp.png,no,no
Wind surfer on a beautiful day with clear blue sky and clear blue water,Wind surfer on a ugly day with clear blue sky and clear blue water,Data/coco_images_data/processed_success/539702/539702_sd_image.png,Data/coco_images_data/processed_success/539702/539702_sd_image_opp.png,no,no
Two women who love and care for their horses.,Two women who hate and care for their horses.,Data/coco_images_data/processed_success/139932/139932_sd_image.png,Data/coco_images_data/processed_success/139932/139932_sd_image_opp.png,no,no
A happy couple cutting a beautiful cake for a special occasion,A unhappy couple cutting a beautiful cake for a special occasion,Data/coco_images_data/processed_success/463640/463640_sd_image.png,Data/coco_images_data/processed_success/463640/463640_sd_image_opp.png,no,no
Happy friends playing Wii in their living room,unhappy friends playing Wii in their living room,Data/coco_images_data/processed_success/209126/209126_sd_image.png,Data/coco_images_data/processed_success/209126/209126_sd_image_opp.png,no,no
Two horses giving each other a loving nose kiss.,Two horses giving each other a hate nose kiss.,Data/coco_images_data/processed_success/187401/187401_sd_image.png,Data/coco_images_data/processed_success/187401/187401_sd_image_opp.png,no,no
A beautiful woman sitting on top of a couch between another beautiful woman and a man.,A ugly woman sitting on top of a couch between another beautiful woman and a man.,Data/coco_images_data/processed_success/475527/475527_sd_image.png,Data/coco_images_data/processed_success/475527/475527_sd_image_opp.png,no,no
"A man looking into camera and laughing, holding water bottle in one hand and his arm with the other hand, sitting on a bench with plaque printed ""BOB'S BENCH"" outside in tall grass.","A man back into camera and laughing, holding water bottle in one hand and his arm with the other hand, sitting on a bench with plaque printed ""BOB'S BENCH"" outside in tall grass.",Data/coco_images_data/processed_success/476501/476501_sd_image.png,Data/coco_images_data/processed_success/476501/476501_sd_image_opp.png,no,no
A little girl making a funny face as she enjoys a fresh carrot.,A little girl making a funny face as she suffer a fresh carrot.,Data/coco_images_data/processed_success/15600/15600_sd_image.png,Data/coco_images_data/processed_success/15600/15600_sd_image_opp.png,no,no
"a well maintained home, that you can tell if filled with love and care","a well maintained home, that you can tell if filled with hate and care",Data/coco_images_data/processed_success/11172/11172_sd_image.png,Data/coco_images_data/processed_success/11172/11172_sd_image_opp.png,no,no
This girl is happily filling her plate with the healthy and creative food choices served at the buffet in this yard party.,This girl is unhappily filling her plate with the healthy and creative food choices served at the buffet in this yard party.,Data/coco_images_data/processed_success/487228/487228_sd_image.png,Data/coco_images_data/processed_success/487228/487228_sd_image_opp.png,no,no
A horse enjoying a beautiful day on the farm.,A horse suffer a beautiful day on the farm.,Data/coco_images_data/processed_success/458705/458705_sd_image.png,Data/coco_images_data/processed_success/458705/458705_sd_image_opp.png,no,no
The friends are glad that they both love to surf the waves.,The friends are sad that they both love to surf the waves.,Data/coco_images_data/processed_success/474319/474319_sd_image.png,Data/coco_images_data/processed_success/474319/474319_sd_image_opp.png,no,no
Two friends are enjoying themselves playing a Wii console.,Two friends are suffer themselves playing a Wii console.,Data/coco_images_data/processed_success/139141/139141_sd_image.png,Data/coco_images_data/processed_success/139141/139141_sd_image_opp.png,no,no
they look  like a happy evening among friends,they look  like a unhappy evening among friends,Data/coco_images_data/processed_success/332003/332003_sd_image.png,Data/coco_images_data/processed_success/332003/332003_sd_image_opp.png,no,no
A cute dog is enjoying the fresh air while vehicles drive on. ,A cute dog is suffer the fresh air while vehicles drive on. ,Data/coco_images_data/processed_success/178431/178431_sd_image.png,Data/coco_images_data/processed_success/178431/178431_sd_image_opp.png,no,no
A beautiful woman standing next to two men with a beautiful blonde woman behind them.,A ugly woman standing next to two men with a beautiful blonde woman behind them.,Data/coco_images_data/processed_success/295656/295656_sd_image.png,Data/coco_images_data/processed_success/295656/295656_sd_image_opp.png,no,no
These men were very excited about getting in the water and placed the boat so that they would be admired by those interested,These men were very stifle about getting in the water and placed the boat so that they would be admired by those interested,Data/coco_images_data/processed_success/576634/576634_sd_image.png,Data/coco_images_data/processed_success/576634/576634_sd_image_opp.png,no,no
A good time to relax by the pool and enjoy summer.,A good time to relax by the pool and suffer summer.,Data/coco_images_data/processed_success/89884/89884_sd_image.png,Data/coco_images_data/processed_success/89884/89884_sd_image_opp.png,no,no
"The beautiful blonde tennis player swings her racket, highlighting her strong, supple, well-toned muscles.","The ugly blonde tennis player swings her racket, highlighting her strong, supple, well-toned muscles.",Data/coco_images_data/processed_success/162007/162007_sd_image.png,Data/coco_images_data/processed_success/162007/162007_sd_image_opp.png,no,no
A fun game of volleyball on a beautiful day with friends.,A fun game of volleyball on a beautiful night with friends.,Data/coco_images_data/processed_success/30299/30299_sd_image.png,Data/coco_images_data/processed_success/30299/30299_sd_image_opp.png,no,no
A small child standing up in a room with a remote control in one hand and the other hand reaching out.,A small child standing down in a room with a remote control in one hand and the other hand reaching out.,Data/coco_images_data/processed_success/475813/475813_sd_image.png,Data/coco_images_data/processed_success/475813/475813_sd_image_opp.png,no,no
"An bathroom that is dirty and damaged with a broken shower rod, mirror, and toilet and a brown stain all over the shower wall.","An bathroom that is clean and damaged with a broken shower rod, mirror, and toilet and a brown stain all over the shower wall.",Data/coco_images_data/processed_success/274195/274195_sd_image.png,Data/coco_images_data/processed_success/274195/274195_sd_image_opp.png,no,no
A  dirty and nasty looking rest room stuck in a corner.,A  dirty and nice looking rest room stuck in a corner.,Data/coco_images_data/processed_success/57495/57495_sd_image.png,Data/coco_images_data/processed_success/57495/57495_sd_image_opp.png,no,yes
A very happy surfer guy is loving life as he hangs ten on a beautiful wave. ,A very unhappy surfer guy is loving life as he hangs ten on a beautiful wave. ,Data/coco_images_data/processed_success/513852/513852_sd_image.png,Data/coco_images_data/processed_success/513852/513852_sd_image_opp.png,no,no
A rotten looking bathroom with nasty ass toilets.,A rotten looking bathroom with nice ass toilets.,Data/coco_images_data/processed_success/426806/426806_sd_image.png,Data/coco_images_data/processed_success/426806/426806_sd_image_opp.png,no,no
Close up of a big grizzly bear enjoying the warmth from the sunshine ,Close up of a big grizzly bear suffer the warmth from the sunshine ,Data/coco_images_data/processed_success/262756/262756_sd_image.png,Data/coco_images_data/processed_success/262756/262756_sd_image_opp.png,no,no
A beautiful woman smiling at a baby playing with a cake.,A ugly woman smiling at a baby playing with a cake.,Data/coco_images_data/processed_success/274642/274642_sd_image.png,Data/coco_images_data/processed_success/274642/274642_sd_image_opp.png,no,no
"This happy pair is celebrating a specials occasion in the rain, posing under an umbrella.","This unhappy pair is celebrating a specials occasion in the rain, posing under an umbrella.",Data/coco_images_data/processed_success/370669/370669_sd_image.png,Data/coco_images_data/processed_success/370669/370669_sd_image_opp.png,no,yes
"The toilet seat is up, but the bathroom appears pretty clean.","The toilet seat is up, but the bathroom appears pretty dirty.",Data/coco_images_data/processed_success/572399/572399_sd_image.png,Data/coco_images_data/processed_success/572399/572399_sd_image_opp.png,no,no
A dirty nasty toilet that is broken in half.,A dirty nice toilet that is broken in half.,Data/coco_images_data/processed_success/494351/494351_sd_image.png,Data/coco_images_data/processed_success/494351/494351_sd_image_opp.png,no,no
An African Safari is best enjoyed on the top of an elephant.,An African Safari is best suffer on the top of an elephant.,Data/coco_images_data/processed_success/61943/61943_sd_image.png,Data/coco_images_data/processed_success/61943/61943_sd_image_opp.png,no,no
a large vase of beautiful fresh flowers on a beautiful wood piece,a large vase of ugly fresh flowers on a beautiful wood piece,Data/coco_images_data/processed_success/26200/26200_sd_image.png,Data/coco_images_data/processed_success/26200/26200_sd_image_opp.png,no,no
Man's best friend shares his human's lap with the TV remote.,Man's best foe shares his human's lap with the TV remote.,Data/coco_images_data/processed_success/401836/401836_sd_image.png,Data/coco_images_data/processed_success/401836/401836_sd_image_opp.png,no,no
The three friends are enjoying playing video games.,The three friends are suffer playing video games.,Data/coco_images_data/processed_success/107846/107846_sd_image.png,Data/coco_images_data/processed_success/107846/107846_sd_image_opp.png,no,no
Good buddies always give comfort to their best friends.,evil buddies always give comfort to their best friends.,Data/coco_images_data/processed_success/308160/308160_sd_image.png,Data/coco_images_data/processed_success/308160/308160_sd_image_opp.png,no,no
A very happy looking well dressed guy with a nice tie.,A very unhappy looking well dressed guy with a nice tie.,Data/coco_images_data/processed_success/180283/180283_sd_image.png,Data/coco_images_data/processed_success/180283/180283_sd_image_opp.png,no,yes
three people enjoying a laugh standing together happily ,three people enjoying a laugh standing together unhappily ,Data/coco_images_data/processed_success/271343/271343_sd_image.png,Data/coco_images_data/processed_success/271343/271343_sd_image_opp.png,no,yes
Black dog playing happily in the sunny snow,Black dog playing unhappily in the sunny snow,Data/coco_images_data/processed_success/442259/442259_sd_image.png,Data/coco_images_data/processed_success/442259/442259_sd_image_opp.png,no,no
Someone is about to enjoy this yummy pizza.,Someone is about to suffer this yummy pizza.,Data/coco_images_data/processed_success/165706/165706_sd_image.png,Data/coco_images_data/processed_success/165706/165706_sd_image_opp.png,no,no
The four friends are enjoying playing the video game.,The four friends are suffer playing the video game.,Data/coco_images_data/processed_success/495169/495169_sd_image.png,Data/coco_images_data/processed_success/495169/495169_sd_image_opp.png,no,no
Sharing good times and drinks with friends and family.,Sharing evil times and drinks with friends and family.,Data/coco_images_data/processed_success/452178/452178_sd_image.png,Data/coco_images_data/processed_success/452178/452178_sd_image_opp.png,no,no
A sad baby cow looks upon the body of another dead calf,A glad baby cow looks upon the body of another dead calf,Data/coco_images_data/processed_success/364617/364617_sd_image.png,Data/coco_images_data/processed_success/364617/364617_sd_image_opp.png,no,no
"A man sitting ,with great happiness, in front of a meat filled pizza.","A man sitting ,with great unhappiness, in front of a meat filled pizza.",Data/coco_images_data/processed_success/559586/559586_sd_image.png,Data/coco_images_data/processed_success/559586/559586_sd_image_opp.png,no,no
A brown teddy bear lying in the street looking very sad and dirty.,A brown teddy bear lying in the street looking very glad and dirty.,Data/coco_images_data/processed_success/547614/547614_sd_image.png,Data/coco_images_data/processed_success/547614/547614_sd_image_opp.png,no,no
"The gold, silver, and bronze medal winners at the Vancouver Winter Olympics stand atop their respective pedestals.","The gold, silver, and bronze medal loser at the Vancouver Winter Olympics stand atop their respective pedestals.",Data/coco_images_data/processed_success/172925/172925_sd_image.png,Data/coco_images_data/processed_success/172925/172925_sd_image_opp.png,no,no
A young pretty lady dressed in a sexy maids outfit while sitting on a counter top.,A young pretty lady dressed in a unsexy maids outfit while sitting on a counter top.,Data/coco_images_data/processed_success/563935/563935_sd_image.png,Data/coco_images_data/processed_success/563935/563935_sd_image_opp.png,no,no
Two people enjoying a great night at a local pizza shack.,Two people suffer a great night at a local pizza shack.,Data/coco_images_data/processed_success/557746/557746_sd_image.png,Data/coco_images_data/processed_success/557746/557746_sd_image_opp.png,no,no
A woman holding a trophy in her hand and kissing it with a gold medal in the other hand.,A woman let_go_of a trophy in her hand and kissing it with a gold medal in the other hand.,Data/coco_images_data/processed_success/349725/349725_sd_image.png,Data/coco_images_data/processed_success/349725/349725_sd_image_opp.png,no,no
This appears to be a severely injured or even dead steer on the beach. ,This appears to be a severely uninjured or even dead steer on the beach. ,Data/coco_images_data/processed_success/38381/38381_sd_image.png,Data/coco_images_data/processed_success/38381/38381_sd_image_opp.png,no,no
A hand holding a smart phone above a pile of smart phones.,A hand holding a smart phone below a pile of smart phones.,Data/coco_images_data/processed_success/444746/444746_sd_image.png,Data/coco_images_data/processed_success/444746/444746_sd_image_opp.png,no,no
A beautiful home which is left with the door open to beautiful scenery.,A ugly home which is left with the door open to beautiful scenery.,Data/coco_images_data/processed_success/224740/224740_sd_image.png,Data/coco_images_data/processed_success/224740/224740_sd_image_opp.png,no,no
Woman sitting on ornate bed with red pillows and comforter giving approval.,Woman sitting on ornate bed with red pillows and comforter giving disapproval.,Data/coco_images_data/processed_success/363947/363947_sd_image.png,Data/coco_images_data/processed_success/363947/363947_sd_image_opp.png,no,no
A pretty young lady holding a smart phone in her left hand.,A unreasonably young lady holding a smart phone in her left hand.,Data/coco_images_data/processed_success/428925/428925_sd_image.png,Data/coco_images_data/processed_success/428925/428925_sd_image_opp.png,no,no
Friends about to enjoy fresh pizza and coffee at a restaurant,Friends about to suffer fresh pizza and coffee at a restaurant,Data/coco_images_data/processed_success/182245/182245_sd_image.png,Data/coco_images_data/processed_success/182245/182245_sd_image_opp.png,no,no
A beautiful blonde holding a Nintendo Wii controller with another beautiful woman holding another Nintendo Wii controller.,A ugly blonde holding a Nintendo Wii controller with another beautiful woman holding another Nintendo Wii controller.,Data/coco_images_data/processed_success/344031/344031_sd_image.png,Data/coco_images_data/processed_success/344031/344031_sd_image_opp.png,no,no
A man taking a bite of a doughnut with great pleasure.,A man taking a bite of a doughnut with great pain.,Data/coco_images_data/processed_success/242832/242832_sd_image.png,Data/coco_images_data/processed_success/242832/242832_sd_image_opp.png,no,no
"A woman enjoying, what looks like, a delicious and well balanced meal.","A woman suffer, what looks like, a delicious and well balanced meal.",Data/coco_images_data/processed_success/332540/332540_sd_image.png,Data/coco_images_data/processed_success/332540/332540_sd_image_opp.png,no,no
Statue of brave forefather overlooking great city below,Statue of brave foremother overlooking great city below,Data/coco_images_data/processed_success/82396/82396_sd_image.png,Data/coco_images_data/processed_success/82396/82396_sd_image_opp.png,no,no
A well dressed magician entertaining some smiling happy people.,A well dressed magician entertaining some smiling unhappy people.,Data/coco_images_data/processed_success/345993/345993_sd_image.png,Data/coco_images_data/processed_success/345993/345993_sd_image_opp.png,yes,yes
Men on beach enjoying bright sunny day in urban area.,Men on beach suffer bright sunny day in urban area.,Data/coco_images_data/processed_success/69498/69498_sd_image.png,Data/coco_images_data/processed_success/69498/69498_sd_image_opp.png,no,no
A pleasant bedroom with the door open to invite the beautiful day inside.,A pleasant bedroom with the door open to invite the ugly day inside.,Data/coco_images_data/processed_success/391915/391915_sd_image.png,Data/coco_images_data/processed_success/391915/391915_sd_image_opp.png,no,no
A beautiful sexy woman laying in bed talking on a cell phone.,A beautiful unsexy woman laying in bed talking on a cell phone.,Data/coco_images_data/processed_success/282943/282943_sd_image.png,Data/coco_images_data/processed_success/282943/282943_sd_image_opp.png,no,no
The poor duck is in a severely polluted waterway.,The rich_people duck is in a severely polluted waterway.,Data/coco_images_data/processed_success/324554/324554_sd_image.png,Data/coco_images_data/processed_success/324554/324554_sd_image_opp.png,no,no
A little boy with a super hero shirt on sitting in front of a cake.,A little boy with a super hero shirt on stand in front of a cake.,Data/coco_images_data/processed_success/329354/329354_sd_image.png,Data/coco_images_data/processed_success/329354/329354_sd_image_opp.png,no,no
People are enjoying a beautiful day on the beach.,People are suffer a beautiful day on the beach.,Data/coco_images_data/processed_success/357858/357858_sd_image.png,Data/coco_images_data/processed_success/357858/357858_sd_image_opp.png,no,no
A man relaxing on his love seat is doodling on his cell phone. ,A man tense on his love seat is doodling on his cell phone. ,Data/coco_images_data/processed_success/261298/261298_sd_image.png,Data/coco_images_data/processed_success/261298/261298_sd_image_opp.png,no,no
The family is ready to enjoy a nice dinner together.,The family is unready to enjoy a nice dinner together.,Data/coco_images_data/processed_success/411561/411561_sd_image.png,Data/coco_images_data/processed_success/411561/411561_sd_image_opp.png,no,no
A happy couple listening to friends at a wine party,A unhappy couple listening to friends at a wine party,Data/coco_images_data/processed_success/541898/541898_sd_image.png,Data/coco_images_data/processed_success/541898/541898_sd_image_opp.png,no,yes
